idx,crystal,LYTTP,E_out,E_in
619,monoclinic,simple,15.053754164911084,17.21933710784598
620,monoclinic,simple,15.082541991509446,15.771482805533745
622,monoclinic,simple,7.498280113052985,9.11596474361709
626,orthorhombic,simple,20.945068230031683,24.379340343542648
627,monoclinic,simple,15.888062611692435,21.88877284174707
628,monoclinic,simple,14.59255198182055,20.518213544518026
629,monoclinic,simple,14.729197001987943,20.584631855606904
630,monoclinic,simple,16.781192294603713,21.536742362754552
634,monoclinic,simple,10.694405614839317,12.75316030598575
635,monoclinic,simple,12.01275792011281,11.102806791773165
636,monoclinic,simple,24.034880841036262,7.009228878631654
638,monoclinic,simple,14.124048424435975,10.497888337351515
639,monoclinic,simple,14.363002342181085,10.732668496957354
640,monoclinic,simple,13.31017164366199,8.844057997023267
641,monoclinic,simple,13.49795968081595,12.900547896247488
642,monoclinic,simple,14.276440783671836,7.852585173611311
645,monoclinic,simple,11.627058835452383,11.967077616547279
653,monoclinic,simple,25.942223789954017,18.52075077893586
658,orthorhombic,simple,8.278914140149288,10.707551766140268
659,orthorhombic,simple,13.163867910396624,17.628518292718997
664,orthorhombic,simple,26.79356137350665,22.411478473609435
665,orthorhombic,simple,26.547248228891824,22.489244712972607
667,monoclinic,base-centered,10.492500876620511,5.654611510825898
675,monoclinic,simple,5.420986074381795,8.628884810878615
68,monoclinic,simple,12.070367362659727,15.6112018007976
681,monoclinic,simple,6.278236128833331,6.982391433711555
682,orthorhombic,base-centered,20.80118991866347,14.558668325190409
684,orthorhombic,simple,11.074596173411313,17.17506853857945
689,orthorhombic,simple,13.164500657569604,15.447556317517707
69,monoclinic,simple,23.346081446258538,15.204670427410784
70,monoclinic,simple,15.066251744787557,11.844904551730993
700,orthorhombic,simple,13.83154318035271,17.9649566114528
702,monoclinic,simple,6.843445203328447,7.449320259775176
703,monoclinic,simple,16.005566266968884,12.642596112322202
709,monoclinic,simple,24.372831578231967,20.830658238382913
732,monoclinic,simple,14.81768650817301,12.206975398469885
740,orthorhombic,simple,10.77487052361736,9.424316275008472
744,orthorhombic,simple,9.152433859222636,12.353880041909294
745,orthorhombic,simple,8.849396239765365,11.222526139075375
748,orthorhombic,simple,9.98390290202537,13.754154528855034
752,monoclinic,simple,22.327659603145328,17.852419898912398
754,monoclinic,simple,11.538090051457411,10.127328933759474
758,orthorhombic,simple,16.148956428067862,16.357677293057957
759,orthorhombic,simple,14.783726636174855,16.096718629680304
76,monoclinic,simple,22.666367878956528,23.040931353871624
762,orthorhombic,base-centered,14.251523493942688,14.335506222355907
77,monoclinic,simple,17.158055673434205,19.571880832923622
774,monoclinic,base-centered,15.513252957051963,11.215864544515476
775,monoclinic,base-centered,15.481900868297929,11.362225696903653
776,monoclinic,simple,12.432225715736122,14.650818900164063
78,monoclinic,simple,13.44241692288291,14.038601230942835
784,monoclinic,base-centered,23.197127645641128,16.704353140185997
785,monoclinic,base-centered,21.9967308645501,16.13636200204481
797,orthorhombic,simple,20.522416236737282,24.079732438954796
798,orthorhombic,simple,20.774789784535386,24.08574850009131
807,monoclinic,base-centered,15.685488841179986,12.450644015226226
809,orthorhombic,simple,12.103259923779806,11.186121344559753
824,orthorhombic,simple,16.114533399991977,17.173087530791634
83,orthorhombic,simple,27.466402500962413,16.294804182015234
837,orthorhombic,simple,15.909758676067113,15.22997103489499
839,monoclinic,simple,21.897190629575768,21.140015607167037
841,monoclinic,simple,16.798984852938798,20.872018869610578
843,monoclinic,simple,16.72616878433355,18.25077769141972
844,triclinic,triclinic-cell,14.459011781430803,20.176844091796422
845,monoclinic,simple,13.602997311379376,11.05069370227919
86,monoclinic,simple,10.585049414261096,13.3397226790017
87,monoclinic,simple,14.913950780393158,13.394460878819157
88,monoclinic,simple,17.851768400276452,13.23074123153693
93,monoclinic,simple,20.594919707984328,15.996359739790634
94,monoclinic,simple,19.733553198030478,15.93773295301111
99,monoclinic,simple,13.984886553526831,14.466781873443894
